set,form,short,история_n,история_net,история_control,история_excess,история_days_pos,история_days,история_usd,запись_n,запись_net,запись_control,запись_excess,запись_days_pos,запись_days,запись_usd,holds
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800,pct2 · tr1x1 · 4 ч · без выхода по стене,123,24.9014,-29.4062,54.3076,10,11,306.28722,17,50.9863,15.6253,35.361,3,6,86.67671,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50be,pct2 · tr1x1 · 4 ч · gone50be,177,3.4648,-16.1718,19.6366,10,11,61.32696,22,7.183,1.3035,5.8795,4,6,15.802600000000002,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone50bex,pct2 · tr1x1 · 4 ч · gone50bex,220,-4.2462,-10.8881,6.6419,8,11,-93.4164,23,10.8407,-0.2311,11.0717,3,6,24.933609999999998,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90be,pct2 · tr1x1 · 4 ч · gone90be,160,7.1444,-19.1938,26.3382,10,11,114.3104,20,11.6536,3.458,8.1956,3,6,23.3072,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-14400-ttl1800-gone90bex,pct2 · tr1x1 · 4 ч · gone90bex,198,1.8426,-12.6273,14.47,8,11,36.48348,21,8.5229,3.628,4.8949,3,6,17.89809,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800,pct2 · tr1x1 · 2 ч · без выхода по стене,151,15.2795,-25.3387,40.6182,9,11,230.72045000000003,24,35.3521,5.4721,29.88,3,6,84.84504,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50be,pct2 · tr1x1 · 2 ч · gone50be,194,4.4274,-14.293,18.7205,10,11,85.89156,26,-5.179,-2.8362,-2.3429,3,6,-13.465399999999999,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone50bex,pct2 · tr1x1 · 2 ч · gone50bex,233,-2.3334,-10.3472,8.0138,7,11,-54.36822000000001,26,0.1078,-3.0895,3.1973,3,6,0.28028000000000003,нет
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90be,pct2 · tr1x1 · 2 ч · gone90be,180,6.0985,-16.6859,22.7844,10,11,109.773,24,0.6819,-1.4672,2.1491,3,6,1.63656,да
t-bid-btc4h-q1,ladder3x2..20w2-pct2-tr1x1-7200-ttl1800-gone90bex,pct2 · tr1x1 · 2 ч · gone90bex,214,0.8791,-11.9893,12.8684,8,11,18.812739999999998,24,-0.2297,-1.4796,1.2499,3,6,-0.55128,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800,pct2 · tk1.75 · 4 ч · без выхода по стене,492,0.8981,-12.2297,13.1278,10,15,44.18652,128,49.5951,22.4251,27.17,6,7,634.81728,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50be,pct2 · tk1.75 · 4 ч · gone50be,774,1.6015,-8.3461,9.9476,11,15,123.95609999999999,172,18.2311,5.5931,12.638,6,7,313.57492,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone50bex,pct2 · tk1.75 · 4 ч · gone50bex,996,-4.0321,-6.2289,2.1967,9,15,-401.59716,206,8.6623,2.4311,6.2312,4,7,178.44338,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90be,pct2 · tk1.75 · 4 ч · gone90be,680,-1.0202,-9.2913,8.2711,11,15,-69.3736,162,25.4999,8.6466,16.8533,6,7,413.09838,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-14400-ttl1800-gone90bex,pct2 · tk1.75 · 4 ч · gone90bex,882,-3.5407,-6.767,3.2263,8,15,-312.28974000000005,198,16.1136,4.6842,11.4294,6,7,319.04928000000007,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800,pct2 · tk1.75 · 2 ч · без выхода по стене,635,0.791,-10.6982,11.4892,10,15,50.228500000000004,158,24.6352,9.9577,14.6775,5,7,389.23616000000004,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50be,pct2 · tk1.75 · 2 ч · gone50be,857,0.6226,-7.5108,8.1334,11,15,53.356820000000006,192,6.2337,1.6948,4.5389,5,7,119.68704,да
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone50bex,pct2 · tk1.75 · 2 ч · gone50bex,1079,-3.7525,-6.0827,2.3301,9,15,-404.89475,222,1.564,-0.2348,1.7988,5,7,34.720800000000004,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90be,pct2 · tk1.75 · 2 ч · gone90be,786,-1.651,-8.1774,6.5264,12,15,-129.7686,183,12.6477,3.7826,8.8652,6,7,231.45291000000003,нет
t-bid-age-45,ladder3x2..20w2-pct2-tk1.75-7200-ttl1800-gone90bex,pct2 · tk1.75 · 2 ч · gone90bex,978,-2.83,-6.4162,3.5862,9,15,-276.774,215,8.05,1.5122,6.5378,6,7,173.07500000000002,нет
