symbol,stop_pct,deadline,mmr_pct,max_leverage,risk_limit_usd,adverse_p99_bps,adverse_n,adverse_source,lev_by_stop_k,lev_by_adverse_p99,leverage,margin_per_10k_usd,liq_distance_pct,funding_abs_mean_bps_8h,funding_abs_max_bps_8h
PENGUUSDT,0.5,3600s,0.67,75.0,5000.0,233.0,0,pool,59.9,33.3,33,303.0,2.36,0.489,1.407
PENGUUSDT,1.0,3600s,0.67,75.0,5000.0,233.0,0,pool,37.5,33.3,33,303.0,2.36,0.489,1.407
PENGUUSDT,2.0,3600s,0.67,75.0,5000.0,233.0,0,pool,21.4,33.3,21,476.2,4.09,0.489,1.407
INTCUSDT,0.5,3600s,1.0,50.0,30000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,0.981,6.307
INTCUSDT,1.0,3600s,1.0,50.0,30000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,0.981,6.307
INTCUSDT,2.0,3600s,1.0,50.0,30000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,0.981,6.307
WIFUSDT,0.5,3600s,1.0,50.0,5000.0,106.5,15,coin,50.0,48.4,48,208.3,1.08,0.555,2.244
WIFUSDT,1.0,3600s,1.0,50.0,5000.0,106.5,15,coin,33.3,48.4,33,303.0,2.03,0.555,2.244
WIFUSDT,2.0,3600s,1.0,50.0,5000.0,106.5,15,coin,20.0,48.4,20,500.0,4.0,0.555,2.244
DELLUSDT,0.5,3600s,1.25,50.0,10000.0,233.0,0,pool,44.4,27.9,27,370.4,2.45,0.872,8.017
DELLUSDT,1.0,3600s,1.25,50.0,10000.0,233.0,0,pool,30.8,27.9,27,370.4,2.45,0.872,8.017
DELLUSDT,2.0,3600s,1.25,50.0,10000.0,233.0,0,pool,19.0,27.9,19,526.3,4.01,0.872,8.017
NVDAUSDT,0.5,3600s,0.5,100.0,5000.0,233.0,0,pool,66.7,35.3,35,285.7,2.36,0.303,3.247
NVDAUSDT,1.0,3600s,0.5,100.0,5000.0,233.0,0,pool,40.0,35.3,35,285.7,2.36,0.303,3.247
NVDAUSDT,2.0,3600s,0.5,100.0,5000.0,233.0,0,pool,22.2,35.3,22,454.5,4.05,0.303,3.247
DASHUSDT,0.5,3600s,1.0,75.0,5000.0,233.0,0,pool,50.0,30.0,30,333.3,2.33,1.028,2.224
DASHUSDT,1.0,3600s,1.0,75.0,5000.0,233.0,0,pool,33.3,30.0,30,333.3,2.33,1.028,2.224
DASHUSDT,2.0,3600s,1.0,75.0,5000.0,233.0,0,pool,20.0,30.0,20,500.0,4.0,1.028,2.224
ETHFIUSDT,0.5,3600s,2.0,25.0,25000.0,233.0,0,pool,33.3,23.1,23,434.8,2.35,0.583,2.635
ETHFIUSDT,1.0,3600s,2.0,25.0,25000.0,233.0,0,pool,25.0,23.1,23,434.8,2.35,0.583,2.635
